Date,Lift,Reps,Weight,Epley_1RM,Bryzcki_1RM
2/19/2020,Bench Press,4,205,232.3333333,223.6363636
2/21/2020,Deadlift,4,365,413.6666667,398.1818182
2/22/2020,Overhead Press,5,110,128.3333333,123.75
2/24/2020,Squat,20,225,375,476.4705882
2/25/2020,Bench Press,6,205,246,238.0645161
3/2/2020,Squat,6,295,354,342.5806452
3/3/2020,Bench Press,2,225,240,231.4285714
3/5/2020,Deadlift,1,405,418.5,405
3/6/2020,Overhead Press,5,115,134.1666667,129.375
3/10/2020,Squat,2,315,336,324
3/11/2020,Bench Press,3,215,236.5,227.6470588
3/12/2020,Squat,3,315,346.5,333.5294118
3/13/2020,Deadlift,4,385,436.3333333,420
3/14/2020,Overhead Press,7,125,154.1666667,150
3/16/2020,Squat,3,335,368.5,354.7058824
3/17/2020,Bench Press,2,235,250.6666667,241.7142857
9/21/2020,Squat,10,62,82.66666667,82.66666667
9/22/2020,Bench Press,12,124,173.6,178.56
9/24/2020,Deadlift,12,62,86.8,89.28
9/25/2020,Overhead Press,12,40,56,57.6
9/29/2020,Squat,10,62,82.66666667,82.66666667
9/30/2020,Bench Press,12,124,173.6,178.56
10/2/2020,Deadlift,12,62,86.8,89.28
10/3/2020,Overhead Press,12,40,56,57.6
10/5/2020,Squat,10,62,82.66666667,82.66666667
10/6/2020,Bench Press,12,124,173.6,178.56
10/8/2020,Deadlift,12,62,86.8,89.28
10/9/2020,Overhead Press,12,40,56,57.6
10/12/2020,Squat,10,62,82.66666667,82.66666667
10/13/2020,Bench Press,12,124,173.6,178.56
10/15/2020,Deadlift,12,62,86.8,89.28
10/16/2020,Overhead Press,12,40,56,57.6
10/19/2020,Squat,15,62,93,101.4545455
10/20/2020,Bench Press,14,124,181.8666667,194.0869565
10/20/2020,Dip,8,20,25.33333333,24.82758621
10/22/2020,Deadlift,18,62,99.2,117.4736842
10/23/2020,Overhead Press,12,40,56,57.6
10/23/2020,Pull Up,8,20,25.33333333,24.82758621
10/26/2020,Squat,15,62,93,101.4545455
10/27/2020,Bench Press,15,124,186,202.9090909
10/27/2020,Dip,10,20,26.66666667,26.66666667
10/29/2020,Hex Bar Deadlift,8,245,310.3333333,304.137931
10/30/2020,Overhead Press,12,40,56,57.6
10/30/2020,Pull Up,8,20,25.33333333,24.82758621
11/3/2020,Squat,15,62,93,101.4545455
11/4/2020,Bench Press,15,124,186,202.9090909
11/4/2020,Dip,12,20,28,28.8
11/6/2020,Hex Bar Deadlift,10,245,326.6666667,326.6666667
11/7/2020,Overhead Press,12,40,56,57.6
11/7/2020,Pull Up,8,20,25.33333333,24.82758621
11/9/2020,Squat,15,62,93,101.4545455
11/10/2020,Bench Press,16,124,190.1333333,212.5714286
11/10/2020,Dip,12,20,28,28.8
11/12/2020,Hex Bar Deadlift,15,245,367.5,400.9090909
11/13/2020,Overhead Press,12,40,56,57.6
11/13/2020,Pull Up,10,20,26.66666667,26.66666667
11/16/2020,Squat,7,62,76.46666667,74.4
11/17/2020,Bench Press,14,124,181.8666667,194.0869565
11/17/2020,Dip,8,20,25.33333333,24.82758621
11/19/2020,Hex Bar Deadlift,12,245,343,352.8
11/20/2020,Overhead Press,12,40,56,57.6
11/20/2020,Pull Up,9,20,26,25.71428571
11/30/2020,Squat,7,62,76.46666667,74.4
12/1/2020,Bench Press,14,124,181.8666667,194.0869565
12/1/2020,Dip,20,20,33.33333333,42.35294118
12/3/2020,Hex Bar Deadlift,6,355,426,412.2580645
12/4/2020,Overhead Press,12,40,56,57.6
12/4/2020,Pull Up,10,20,26.66666667,26.66666667
12/7/2020,Squat,7,62,76.46666667,74.4
12/8/2020,Bench Press,15,124,186,202.9090909
12/8/2020,Dip,15,20,30,32.72727273
12/10/2020,Hex Bar Deadlift,3,355,390.5,375.8823529
12/11/2020,Overhead Press,12,40,56,57.6
12/11/2020,Pull Up,10,20,26.66666667,26.66666667
1/12/2021,Squat,8,62,78.53333333,76.96551724
1/13/2021,Bench Press,15,124,186,202.9090909
1/13/2021,Dip,15,20,30,32.72727273
1/15/2021,Hex Bar Deadlift,4,355,402.3333333,387.2727273
1/16/2021,Overhead Press,12,40,56,57.6
1/16/2021,Pull Up,10,20,26.66666667,26.66666667
1/18/2021,Squat,8,62,78.53333333,76.96551724
1/19/2021,Bench Press,15,124,186,202.9090909
1/19/2021,Dip,15,20,30,32.72727273
1/21/2021,Hex Bar Deadlift,5,355,414.1666667,399.375
1/22/2021,Overhead Press,12,40,56,57.6
1/22/2021,Pull Up,10,20,26.66666667,26.66666667
1/25/2021,Squat,8,62,78.53333333,76.96551724
1/26/2021,Bench Press,15,124,186,202.9090909
1/26/2021,Dip,15,20,30,32.72727273
1/28/2021,Hex Bar Deadlift,5,355,414.1666667,399.375
1/29/2021,Overhead Press,12,40,56,57.6
1/29/2021,Pull Up,10,20,26.66666667,26.66666667
2/1/2021,Squat,8,62,78.53333333,76.96551724
2/2/2021,Bench Press,15,124,186,202.9090909
2/2/2021,Dip,15,20,30,32.72727273
2/4/2021,Hex Bar Deadlift,5,355,414.1666667,399.375
2/5/2021,Overhead Press,12,40,56,57.6
2/5/2021,Pull Up,10,20,26.66666667,26.66666667
2/8/2021,Squat,8,62,78.53333333,76.96551724
2/9/2021,Bench Press,15,124,186,202.9090909
2/9/2021,Dip,15,20,30,32.72727273
2/11/2021,Hex Bar Deadlift,10,355,473.3333333,473.3333333
2/12/2021,Overhead Press,12,40,56,57.6
2/12/2021,Pull Up,10,20,26.66666667,26.66666667
2/15/2021,Squat,8,62,78.53333333,76.96551724
2/16/2021,Bench Press,15,124,186,202.9090909
2/16/2021,Dip,15,20,30,32.72727273
2/18/2021,Hex Bar Deadlift,5,355,414.1666667,399.375
2/19/2021,Overhead Press,12,40,56,57.6
2/19/2021,Pull Up,10,20,26.66666667,26.66666667
2/22/2021,Squat,8,62,78.53333333,76.96551724
2/23/2021,Bench Press,15,124,186,202.9090909
2/23/2021,Dip,15,20,30,32.72727273
2/25/2021,Hex Bar Deadlift,10,245,326.6666667,326.6666667
2/26/2021,Overhead Press,12,40,56,57.6
2/26/2021,Pull Up,2,100,106.6666667,102.8571429
3/1/2021,Squat,8,62,78.53333333,76.96551724
3/2/2021,Bench Press,10,100,133.3333333,133.3333333
3/2/2021,Dip,15,20,30,32.72727273
3/4/2021,Hex Bar Deadlift,5,355,414.1666667,399.375
3/5/2021,Overhead Press,12,40,56,57.6
3/5/2021,Pull Up,6,62,74.4,72
3/8/2021,Squat,8,62,78.53333333,76.96551724
3/9/2021,Bench Press,10,100,133.3333333,133.3333333
3/9/2021,Dip,15,20,30,32.72727273
3/11/2021,Hex Bar Deadlift,6,245,294,284.516129
3/12/2021,Overhead Press,5,124,144.6666667,139.5
3/12/2021,Pull Up,7,62,76.46666667,74.4
3/15/2021,Squat,8,62,78.53333333,76.96551724
3/16/2021,Bench Press,10,100,133.3333333,133.3333333
3/16/2021,Dip,15,20,30,32.72727273
3/18/2021,Hex Bar Deadlift,7,245,302.1666667,294
3/19/2021,Overhead Press,12,40,56,57.6
3/19/2021,Pull Up,6,62,74.4,72
3/22/2021,Squat,8,62,78.53333333,76.96551724
3/23/2021,Bench Press,10,100,133.3333333,133.3333333
3/23/2021,Dip,15,20,30,32.72727273
3/25/2021,Hex Bar Deadlift,7,245,302.1666667,294
3/26/2021,Overhead Press,12,40,56,57.6
3/26/2021,Pull Up,6,62,74.4,72
4/2/2021,Bench Press,10,90,120,120
4/4/2021,Squat,3,295,324.5,312.3529412
4/4/2021,Overhead Press,4,135,153,147.2727273
4/5/2021,Squat,8,62,78.53333333,76.96551724
4/6/2021,Bench Press,10,100,133.3333333,133.3333333
4/6/2021,Dip,15,20,30,32.72727273
4/8/2021,Hex Bar Deadlift,7,245,302.1666667,294
4/12/2021,Squat,8,62,78.53333333,76.96551724
4/13/2021,Bench Press,10,100,133.3333333,133.3333333
4/13/2021,Dip,15,20,30,32.72727273
4/15/2021,Hex Bar Deadlift,3,355,390.5,375.8823529
4/16/2021,Overhead Press,12,40,56,57.6
4/16/2021,Pull Up,6,62,74.4,72
4/20/2021,Hex Bar Deadlift,7,245,302.1666667,294
4/20/2021,Overhead Press,3,62,68.2,65.64705882
4/22/2021,Hex Bar Deadlift,4,355,402.3333333,387.2727273
4/25/2021,Squat,8,62,78.53333333,76.96551724
4/28/2021,Hex Bar Deadlift,2,355,378.6666667,365.1428571
4/29/2021,Overhead Press,12,40,56,57.6
4/29/2021,Pull Up,6,62,74.4,72
5/4/2021,Squat,8,62,78.53333333,76.96551724
5/5/2021,Bench Press,10,100,133.3333333,133.3333333
5/7/2021,Hex Bar Deadlift,3,355,390.5,375.8823529
5/8/2021,Overhead Press,12,40,56,57.6
5/8/2021,Pull Up,6,62,74.4,72
5/10/2021,Squat,8,62,78.53333333,76.96551724
5/11/2021,Bench Press,10,100,133.3333333,133.3333333
5/11/2021,Hex Bar Deadlift,25,245,449.1666667,735
5/13/2021,Hex Bar Deadlift,6,355,426,412.2580645
5/14/2021,Overhead Press,12,40,56,57.6
5/14/2021,Pull Up,6,62,74.4,72
5/17/2021,Squat,8,62,78.53333333,76.96551724
5/18/2021,Bench Press,10,100,133.3333333,133.3333333
5/20/2021,Deadlift,1,405,418.5,405
5/27/2021,Deadlift,1,405,418.5,405
5/31/2021,Squat,5,245,285.8333333,275.625
6/1/2021,Bench Press,6,175,210,203.2258065
6/3/2021,Deadlift,5,315,367.5,354.375
6/8/2021,Squat,4,255,289,278.1818182
6/8/2021,Bench Press,4,185,209.6666667,201.8181818
6/10/2021,Deadlift,4,345,391,376.3636364
6/15/2021,Squat,8,225,285,279.3103448
